40,51,65,64,63,12,38,45,62,20,5,,,
51,62,20,61,38,54,63,7,48,45,,,,
51,11,5,45,54,61,63,49,16,62,,,,
62,54,5,45,40,63,38,11,51,35,,,,
51,5,6,7,63,40,61,12,38,62,45,,,
45,55,56,40,6,35,63,5,54,38,59,62,39,
40,63,48,49,45,62,5,50,7,54,38,,,
40,51,11,5,65,61,45,63,35,54,,,,
54,40,62,59,45,63,13,5,65,11,,,,
11,6,54,40,5,65,63,35,21,62,,,,
40,35,11,65,51,45,,,,,,,,
45,5,64,42,61,63,48,38,50,40,,,,
45,63,62,54,52,40,48,22,13,35,7,38,,
40,51,16,38,63,45,54,39,50,48,5,59,,
51,62,5,6,45,39,64,40,38,48,35,,,
54,62,5,63,7,65,40,37,,,,,,
62,40,54,38,11,61,45,59,63,5,60,51,,
51,1,35,13,56,55,54,63,50,11,,,,
62,40,54,51,65,5,63,45,38,,,,,
1,62,11,45,38,5,35,48,63,54,51,,,
1,50,20,51,45,38,57,7,5,61,,,,
61,51,38,54,48,40,5,63,45,6,,,,
5,51,11,45,63,54,62,37,48,,,,,
40,51,5,45,65,1,62,35,63,54,38,,,
5,59,48,6,35,54,49,42,45,50,,,,
5,45,40,61,62,64,39,54,38,,,,,
51,62,11,5,54,40,57,6,63,35,,,,
54,11,38,5,45,65,63,40,48,53,6,39,,
62,1,65,42,54,9,38,20,11,,,,,
54,63,40,11,49,57,65,35,45,,,,,
40,5,50,65,48,45,11,54,57,62,63,39,,
11,59,63,38,54,5,45,65,51,48,61,40,,
51,1,62,54,11,38,65,61,45,,,,,
54,6,65,35,39,21,51,38,,,,,,
35,59,63,5,38,49,45,40,57,,,,,
51,40,62,45,11,5,48,6,35,63,38,,,
50,54,61,40,38,11,63,5,65,45,51,62,,
6,5,63,20,38,35,65,62,45,40,56,55,54,
40,11,38,61,59,7,45,5,63,39,54,,,
20,65,38,1,51,57,11,40,63,45,,,,
5,62,6,65,51,55,56,40,38,39,,,,
40,54,5,6,45,63,61,38,35,62,39,,,
51,54,11,61,40,45,48,1,49,63,12,,,
54,63,5,6,62,59,42,38,45,39,,,,
62,5,38,35,7,63,20,45,16,,,,,
51,6,45,5,65,40,21,,,,,,,
62,40,54,57,1,48,51,60,65,63,16,45,,
5,49,63,54,61,39,45,38,40,55,56,51,,
11,49,62,61,20,35,12,54,45,7,38,,,
54,40,5,38,45,62,63,57,60,11,13,,,
62,6,5,54,7,45,40,63,13,48,39,,,
54,61,5,63,42,65,11,59,,,,,,
62,11,63,50,1,21,35,42,40,54,38,59,64,16
1,6,63,40,62,11,45,5,38,20,,,,
11,39,16,64,42,51,21,63,55,56,5,62,45,
6,59,63,45,49,38,40,11,54,35,5,,,
62,63,45,48,20,54,6,7,5,39,40,60,,
51,5,6,38,63,62,45,16,7,48,54,13,,
54,62,63,65,35,11,45,38,5,48,39,40,,
62,1,64,20,45,12,38,6,5,,,,,
40,45,38,54,20,64,63,50,5,39,,,,
54,59,5,63,48,62,61,45,40,38,,,,
11,61,16,59,40,45,38,62,20,63,64,39,,
40,51,54,62,59,49,20,61,63,45,38,,,
62,11,5,40,49,65,9,45,54,13
45,54,51,55,56,5,65
54,11,5,63,62,39,21,45,59,61,35,6,43,38
5,54,45,6,11,16,63,40,62,43
62,65,59,64,40,53,63,12,45,48,54,61
5,11,42,38,62,65,51,7,16,40,39
11,40,7,51,48,45,63,49,5,37,54,65,38
11,48,39,5,45,63,38,62,54,40,9
40,54,59,1,61,62,7,45,38,63,35,48
5,61,62,50,39,20,12,45,16,63,54
40,62,65,45,59,61,5,48,63,38,54
40,62,5,45,63,48,65,38,6,54
62,11,45,57,38,6,65,63,5,48
5,6,65,38,61,57,35,45,13,20,51,63
20,49,42,5,6,48,7,54,63,11,62,45
62,54,51,45,63,39,11,48,38,42,5,40
6,1,54,45,63,48,12,40,16,39
51,62,63,40,50,6,45,39
65,5,54,61,45,40,55,56,35,63,20
7,61,54,11,65,39,42,45,62,5,40,35,38
54,65,38,45,63,62,64,5,40,48,39
51,1,5,6,59,35,45,63,40,38
62,5,61,6,38,35,57,50,63,40,20,45
5,45,38,11,48,6,40,7,57
54,62,51,5,45,64,11,7,50,38
40,11,45,5,65,49,48,63,59,56,55,6
7,40,11,38,62,61,48,59,37,63
54,5,40,45,9,11,39,59,38,51
6,51,40,63,64,62,38,45,54,60
40,62,59,5,61,53,11,45,52,63,1
51,7,48,45,6,38,35,63,39
35,5,48,51,62,42,6,59,63,45,21
11,20,54,45,65,35,38,5,39,62
54,40,63,50,45,65,5,62,42,7,48,38
62,54,38,11,51,50,63,45
40,62,65,7,63,48,45,11,37
