54,42,51,39,57,64,61,6,63,65
54,42,39,57,64,63,65,6,52,61
54,42,39,63,57,64,6,61,13,65
54,42,39,57,64,6,61,13,63,52
54,42,39,64,57,63,52,61,65,38
54,42,39,6,64,63,57,65,13,61
54,42,64,39,57,61,63,52,65,38
54,42,62,39,64,63,57,13,61,20
63,54,42,39,6,64,57,13,37,52
54,42,39,64,57,6,52,61,38,63
54,42,51,39,64,63,57,52,61,65
54,42,39,57,64,63,6,61,38,13
54,42,39,64,57,63,61,6,52,13
54,42,39,64,57,63,13,6,38,61
54,42,57,39,64,63,13,6,65,61
54,42,39,57,6,64,63,38,61,13
54,42,57,39,64,6,63,61,52,65
54,42,39,63,50,64,57,52,20,65
54,51,42,39,50,57,64,63,48,6
54,42,39,6,57,64,63,61,38,9
54,42,39,64,63,57,6,61,20,52
54,42,39,50,49,64,57,63,61,6
54,42,51,39,6,57,64,61,52,63
54,42,39,64,57,63,35,6,65,61
54,42,39,64,57,63,61,6,65,38
54,42,39,64,57,63,65,61,48,38
54,42,39,64,57,16,63,6,61,52
54,42,39,57,6,64,63,13,65,61
54,42,39,64,57,63,6,52,13,35
54,42,39,64,57,63,6,61,38,65
54,42,39,57,6,64,63,61,52,9
54,42,39,57,64,63,6,65,61,20
54,42,64,39,50,57,63,61,65,38
62,54,42,39,64,57,63,61,38,6
54,42,39,64,61,57,13,38,52,63
62,54,42,39,57,64,63,20,65,61
62,54,42,39,57,64,63,65,35,61
54,42,39,64,57,63,6,13,52,61
54,42,39,64,57,65,63,52,61,38
54,42,39,51,64,63,57,52,6,13
54,42,39,20,57,6,64,63,65,52
54,42,39,57,50,64,6,63,65,61
54,42,39,64,57,63,6,61,52,38
54,42,51,39,64,57,52,63,61,6
54,42,39,57,64,63,65,38,61,60
54,42,39,64,6,63,57,61,65,13
54,42,39,64,63,57,61,20,65,6
54,42,64,39,57,63,65,6,52,61
54,42,39,57,64,63,6,61,52,38
54,42,39,57,64,63,6,61,13,38
54,42,39,64,57,20,61,63,38,52
54,42,39,57,64,6,63,61,52,13
54,42,39,64,6,20,51,57,63,61
54,42,39,64,6,57,13,63,52,61
54,42,6,64,57,39,63,13,61,38
54,42,50,49,39,64,57,63,35,52
54,42,39,64,63,57,52,6,61,65
54,42,57,39,64,63,6,61,52,38
54,42,64,63,39,6,57,13,61,38
54,42,39,57,63,64,65,52,61,38
54,42,39,57,64,6,63,65,52,61
63,54,42,49,50,39,64,57,65,45
54,42,39,57,63,64,65,16,52,35
54,42,39,64,57,63,52,38,61,20
54,42,39,57,63,64,52,61,65,38
54,42,39,6,57,64,16,13,63,9
54,42,39,57,64,63,20,65,61,6
54,42,51,39,6,64,63,13,57,9
54,42,6,39,57,63,64,65,9,13
62,54,42,49,39,57,50,64,13,63
54,42,49,50,39,57,64,63,61,65
54,42,39,57,64,63,61,6,5,52
54,42,51,39,64,57,63,6,50,52
54,42,39,64,57,63,61,65,38,52
54,42,39,64,63,6,50,57,61,13
54,42,39,64,57,16,38,65,63,52
54,42,39,57,50,64,61,65,63,38
57,54,62,42,39,50,49,64,63,52
54,42,39,57,64,52,61,65,63,6
54,42,50,39,57,64,63,61,65,52
54,42,39,64,57,6,63,61,52,38
54,42,64,39,57,63,65,6,13,61
54,42,39,6,64,57,63,61,13,38
54,42,6,39,64,57,63,52,65,13
54,42,39,50,64,57,49,61,63,65
54,42,39,64,57,63,61,13,52,48
54,42,49,39,64,57,63,50,61,52
54,42,39,64,6,57,61,16,63,13
54,42,39,6,57,64,63,52,65,61
54,42,64,39,57,63,61,52,6,38
54,42,39,57,64,63,61,6,52,38
54,42,39,57,64,20,13,6,63,61
54,42,39,57,64,6,63,20,61,13
54,42,39,64,57,63,52,13,6,38
54,42,39,57,64,65,63,61,6,38
54,42,39,64,6,63,13,57,38,20
54,42,39,57,6,64,13,63,52,61
54,42,39,57,64,52,63,65,61,11
54,42,49,50,39,64,57,63,6,61
54,42,39,57,63,64,6,61,65,38
