40,62,6,1,11,61,54,12,48,60,39,,,
39,6,61,63,35,45,62,40,60,12,,,,
5,54,51,39,61,62,58,63,59,60,,,,
16,45,61,5,54,12,35,6,11,62,,,,
61,65,12,20,63,6,54,40,62,35,,,,
11,45,40,63,62,61,51,35,48,60,39,54,,
58,63,61,12,35,54,11,39,62,60,40,51,,
62,61,40,63,54,12,39,60,51,,,,,
58,6,5,63,62,61,21,54,39,,,,,
11,20,54,61,62,63,40,51,39,6,12,,,
62,6,5,61,35,39,54,51,40,,,,,
40,62,7,20,61,39,48,63,5,51,,,,
45,11,39,54,35,62,61,5,12,60,63,,,
40,62,54,61,1,12,35,51,60,58,48,,,
63,51,5,20,16,48,40,62,39,60,23,,,
6,45,5,51,61,9,62,12,54,40,39,60,,
62,40,39,20,61,51,54,63,35,60,12,,,
40,12,45,61,62,54,60,42,16,63,39,,,
16,39,54,60,63,58,61,48,1,40,62,,,
20,39,54,45,40,61,62,60,58,51,35,,,
51,40,61,60,54,12,62,39,48,63,35,45,,
11,5,7,12,54,39,61,62,40,55,56,58,,
59,20,1,40,45,62,61,65,12,54,,,,
42,11,62,61,39,40,51,12,60,58,45,63,,
45,20,39,63,1,61,60,12,40,58,54,51,,
61,12,63,45,39,9,6,5,40,,,,,
62,61,6,35,39,11,48,44,12,40,63,54,,
40,20,62,61,54,51,39,63,60,12,,,,
6,39,61,40,20,12,62,21,35,51,,,,
40,62,61,45,51,20,21,54,63,12,,,,
58,40,21,61,35,48,5,62,63,60,39,51,,
62,6,54,40,12,35,61,60,39,16,51,,,
40,5,11,6,61,54,48,63,51,35,39,60,62,12
62,63,59,6,65,51,45,5,39,54,40,,,
51,45,54,42,62,61,48,11,,,,,,
16,62,39,61,58,54,21,11,60,48,63,42,,
40,62,42,61,5,54,57,60,12,48,39,51,45,
20,54,61,5,51,39,62,12,58,40,60,59,,
45,54,5,61,58,39,51,62,40,21,48,12,,
62,45,61,51,1,39,42,48,58,40,54,12,60,63
62,16,5,58,39,61,51,42,40,54,12,13,,
39,58,61,40,12,51,54,60,62,35,48,23,,
40,16,5,6,1,12,51,56,55,62,20,,,
62,59,61,20,39,63,45,51,40,54,35,48,,
20,6,39,11,5,61,45,63,35,62,,,,
11,51,40,16,61,62,48,35,39,45,12,63,54,
58,51,62,40,5,45,61,54,21,39,35,,,
51,40,16,61,48,49,12,63,39,62,60,6,,
51,58,16,20,5,11,39,61,62,40,48,60,,
6,12,61,35,63,11,45,51,48,60,,,,
45,40,6,61,20,54,62,65,60,48,,,,
5,16,63,54,42,62,35,45,58,60,11,61,,
39,65,61,54,62,60,12,48,40,51,63,35,,
62,61,40,54,51,12,39,45,35,63,48,,,
20,45,62,12,54,39,42,61,48,40,5,63,,
5,39,62,61,6,42,54,48,12,1,,,,
45,63,54,62,11,61,39,40,,,,,,
40,20,5,59,45,65,11,62,61,63,48,35,,
62,12,57,40,51,45,61,58,54,48,35,38,,
20,62,54,59,51,16,61,39,12,40,60,63,35,
45,6,11,63,40,42,62,61,60,49,54,,,
62,43,54,61,45,60,40,51,48,,,,,
6,5,45,63,39,20,62,61,42,48,,,,
40,62,42,51,39,61,11,5,,,,,,
63,61,54,35,1,48,20,62,40,12,60,39,,
51,6,61,40,62,12,63,54,39,45,35,5,,
40,6,61,51,54,12,39,62,60,35,63,,,
62,42,61,12,45,63,39,54,40,35,51,60,,
21,39,42,20,63,62,5,61,12,11,,,,
20,54,5,42,63,21,61,40,39,62,51,60,12,
51,40,42,61,35,45,5,12,39,62,48,55,,
40,62,16,20,6,58,61,48,60,12,54,65,,
54,40,45,61,42,65,1,12,62,,,,,
39,45,42,54,16,63,61,40,51,60,,,,
54,12,61,48,51,13,40,62,60,39,58,,,
20,11,58,61,12,39,62,40,63,45,60,,,
63,54,61,62,40,60,35,39,58,12,16,,,
61,58,5,6,54,51,7,39,60,,,,,
45,20,61,54,62,40,63,42,60,12,51,,,
62,40,6,11,58,61,21,39,60,12,54,,,
62,59,54,5,12,35,40,63,61,6,11,48,60,
16,39,54,42,15,61,62,51,12,60,9,40,48,
40,45,54,62,39,23,6,61,12,,,,,
51,7,61,39,12,62,49,40,54,20,,,,
16,40,54,61,63,62,21,51,39,,,,,
54,5,39,20,6,61,51,11,59,1,,,,
62,51,63,61,48,6,12,39,40,35,60,,,
51,45,54,39,61,62,40,63,12,,,,,
62,20,39,9,42,40,65,61,63,58,35,12,54,
42,40,58,54,1,63,62,61,51,30,,,,
40,39,51,54,61,62,21,12,63,60,48,45,,
20,16,39,58,61,6,40,35,5,51,12,60,54,
20,62,6,51,61,63,35,40,48,42,12,54,,
40,51,20,48,62,42,63,61,60,45,,,,
20,6,62,59,12,61,35,16,54,,,,,
11,40,7,60,61,62,63,12,54,35,5
62,20,11,40,54,59,63,51,42,48
40,6,63,62,54,61,45,12,35,42,39,65,60,51
20,40,21,35,62,60,61,39,63,12,51,54,58,48,42
62,20,51,39,40,5,35,63,12
