26,18,28,39,8,25,24,38,36,34
39,24,34,38,28,47,41,31,30,2
10,2,3,12,47,46,34,29,60,24
34,28,24,29,38,32,39,18,27,8
34,39,38,22,24,2,27,19,33,43
38,50,49,39,24,34,28,46,10,21
34,38,39,25,26,52,29,3,30,9
35,12,51,10,47,2,37,54,31,15
24,39,26,28,38,29,25,10,2,22
39,34,38,24,28,25,10,2,27,32
38,39,34,44,37,49,8,46,13,56
18,26,53,24,29,61,23,51,34,13
34,24,26,39,27,38,49,11,8,32
39,34,38,43,24,44,18,22,25,2
39,2,38,30,10,24,26,18,35,47
39,38,30,47,46,41,31,25,60,49
29,19,28,27,61,18,33,65,25,49
35,14,2,10,12,26,31,48,47,33
34,24,39,27,38,31,44,32,30,19
2,10,3,12,31,47,34,4,46,33
10,2,30,35,12,34,24,29,15,45
10,2,34,12,27,65,26,31,28,35
34,24,13,50,61,49,53,52,8,27
24,34,39,2,10,28,38,8,14,29
18,10,2,28,8,22,30,36,49,38
38,39,30,11,21,44,12,48,60,10
39,38,18,34,30,8,13,26,53,44
65,12,15,31,28,3,49,35,50,34
39,9,38,28,47,31,30,37,24,61
35,12,15,2,10,49,3,31,18,34
34,39,24,28,38,29,32,2,22,27
24,28,39,26,34,18,3,11,38,19
13,9,35,2,50,51,53,6,48,37
33,61,50,49,34,53,56,55,29,64
38,39,44,43,41,10,30,63,60,21
12,50,49,65,15,31,48,35,47,11
10,2,65,47,11,15,12,35,19,49
39,10,24,2,38,28,34,12,26,35
34,38,39,29,32,2,27,24,22,10
29,49,24,43,50,17,11,18,14,61
39,38,34,30,63,2,49,13,5,11
10,2,35,49,50,12,14,31,24,47
39,34,38,29,8,3,24,32,28,18
4,33,53,24,61,36,34,18,8,23
39,38,30,47,61,46,60,19,59,21
26,39,18,38,49,46,25,14,21,1
39,12,10,60,48,47,44,35,51,45
39,38,43,46,44,30,2,52,9,11
34,24,50,39,38,49,27,2,19,10
12,35,47,2,48,31,10,65,15,50
10,2,65,15,31,33,22,12,46,47
39,8,26,38,34,49,11,50,10,2
26,39,38,25,8,34,14,23,36,21
34,39,11,38,32,29,27,4,24,26
10,2,12,65,35,48,47,31,15,24
39,26,25,38,34,21,27,47,33,16
24,39,28,38,10,29,19,2,44,31
39,12,60,45,38,44,30,25,35,2
34,39,50,27,24,10,38,2,49,11
24,28,8,34,25,39,18,38,10,26
39,26,18,38,25,9,24,8,13,5
10,2,27,34,12,31,35,49,46,29
39,38,34,30,47,2,22,24,37,48
39,24,29,38,19,41,34,18,30,25
8,53,29,14,24,26,22,18,61,9
26,28,39,24,8,38,34,49,36,25
39,38,44,31,8,45,34,50,19,48
30,12,49,47,11,48,10,5,40,19
28,10,3,39,2,34,49,50,38,24
34,39,38,27,32,24,2,10,29,30
10,2,12,65,15,35,49,48,11,47
35,53,13,9,51,26,2,49,50,24
24,34,19,27,39,28,38,2,10,22
39,31,38,10,12,41,30,18,52,16
34,39,38,32,22,10,2,24,29,27
34,46,49,47,4,54,50,61,35,24
24,34,39,38,26,10,22,27,47,21
10,2,12,34,35,47,65,31,28,50
10,2,12,65,15,35,50,49,34,26
10,2,12,65,49,31,15,47,46,35
12,65,10,2,35,15,9,48,37,31
38,39,31,30,61,47,60,63,52,9
39,38,30,44,21,5,46,16,65,9
26,34,39,18,50,24,25,38,19,27
28,24,39,38,34,26,9,27,18,13
38,39,3,48,52,23,63,27,30,31
10,2,12,35,48,47,37,31,65,46
28,39,18,24,11,38,56,55,2,4
26,39,25,38,33,2,11,31,4,10
12,2,47,10,34,60,48,46,44,31
34,39,24,38,47,9,30,22,29,13
39,38,34,10,26,33,44,4,2,29
38,39,44,43,21,47,52,30,11,63
28,39,24,10,38,2,3,29,19,9
24,34,28,39,38,2,27,29,41,10
10,2,12,15,3,65,35,31,24,11
39,38,34,44,24,29,2,41,43,45
12,2,10,31,35,11,7,24,50,60
30,49,2,15,10,23,35,24,17,9
34,39,24,38,26,29,44,30,10,11
