62,60,63,12,40,11,54,45,51,5,,
62,60,63,5,40,12,45,,,,,
62,60,63,12,40,45,51,54,5,,,
62,60,63,40,5,12,45,54,51,,,
62,60,63,40,12,39,54,5,51,45,,
62,60,40,63,12,5,45,11,54,,,
62,60,63,40,54,45,5,12,51,11,39,6
62,60,63,40,54,12,51,5,45,39,,
62,60,63,12,40,54,45,51,5,,,
62,60,63,40,12,5,45,54,51,11,,
62,60,63,12,45,5,40,54,51,11,39,
62,60,63,40,12,5,45,11,,,,
62,60,63,40,12,54,45,,,,,
62,60,40,5,63,12,45,51,11,54,,
62,60,12,40,63,45,54,51,5,11,39,
62,63,60,12,5,40,54,51,,,,
62,60,40,63,5,12,45,51,54,11,39,6
62,60,63,12,40,5,39,11,51,45,54,
62,60,63,40,12,5,45,51,54,11,,
62,60,63,12,40,45,54,51,5,,,
62,60,40,63,12,5,51,54,45,11,39,6
62,60,63,40,12,45,54,5,51,11,,
62,60,63,40,12,45,5,,,,,
62,60,63,40,12,45,54,51,39,,,
62,60,63,5,40,12,45,11,,,,
62,60,40,12,63,5,45,54,51,11,,
62,63,60,40,12,5,54,45,11,,,
62,60,12,63,54,51,40,45,5,,,
62,60,40,63,5,45,12,54,51,,,
62,60,63,12,40,54,51,45,5,39,11,
62,60,63,12,40,45,5,11,54,,,
62,60,63,40,12,45,5,54,,,,
62,60,63,40,12,54,51,5,,,,
62,60,63,40,12,5,45,54,51,11,39,
62,60,63,40,12,45,51,54,,,,
62,60,63,5,40,12,54,51,45,39,,
62,60,63,12,40,51,54,45,5,11,39,
62,60,63,40,12,5,45,54,51,,,
62,60,63,40,5,12,45,54,51,11,39,6
62,60,63,40,12,45,54,51,5,11,,
62,60,63,45,54,12,40,11,5,,,
62,60,63,40,54,51,45,12,5,,,
62,60,63,12,40,45,11,5,54,51,39,
62,60,63,12,40,11,45,5,54,51,,
62,60,63,40,12,5,54,45,51,39,,
62,60,63,40,5,54,51,12,45,11,,
62,60,63,12,40,54,51,45,39,5,,
62,60,63,40,12,54,45,51,5,35,,
62,60,63,40,12,45,54,5,11,51,,
62,60,63,40,5,45,51,54,11,12,,
62,60,63,40,11,12,5,45,54,51,39,35
62,63,60,40,12,45,54,51,5,39,,
62,60,63,40,12,5,45,54,51,,,
62,60,40,54,12,63,45,5,51,11,39,
62,60,63,40,12,5,45,11,54,39,,
62,60,63,40,12,5,45,54,11,51,,
62,60,63,11,12,54,40,51,45,,,
62,60,63,40,12,45,54,51,11,5,39,
62,60,63,40,12,54,45,51,5,39,,
62,60,63,40,12,45,54,51,39,5,6,
62,60,63,12,40,45,5,51,54,11,39,
62,60,63,40,12,54,51,45,5,,,
62,60,12,63,40,5,54,51,45,11,6,
62,60,12,40,63,51,54,45,5,39,11,6
62,60,63,40,12,5,45,54,51,11,,
62,60,63,40,12,5,54,39,51,,,
62,60,63,40,45,51,54,5,12,,,
62,60,63,40,12,54,51,5,45,39,11,
62,60,63,40,5,45,12,54,51,39,,
62,63,60,40,12,39,54,45,51,5,11,
62,60,63,40,45,12,51,54,11,5,39,6
62,60,63,40,12,5,54,45,51,11,,
62,60,63,12,40,5,45,54,51,39,,
62,60,63,40,12,45,5,54,51,11,,
62,60,63,40,5,12,45,54,51,11,6,
62,60,63,45,12,40,54,51,11,39,,
62,60,63,40,12,54,45,51,5,,,
62,60,63,40,12,45,5,54,11,51,39,
62,60,40,63,12,54,51,45,5,,,
62,60,63,40,5,54,12,51,45,,,
62,60,5,40,12,63,45,54,51,11,6,
62,63,60,40,45,12,5,54,51,11,,
62,60,63,5,40,12,54,45,51,11,39,
62,60,63,40,12,5,45,54,51,11,39,6
62,60,63,12,40,45,11,54,51,6,5,
62,60,40,63,12,45,5,51,54,11,,
62,60,40,63,12,11,5,45,51,,,
62,60,63,40,12,5,51,54,45,11
62,60,63,40,12,5,54,45
62,60,63,40,12,54,11,5
62,60,63,40,12,45,5,54,51,11,39
62,60,63,12,40,45,5,54,39
62,60,63,40,12,45,54,51,5,39
62,60,63,40,54,12,51,5,45,11
62,60,12,5,63,40,54,51
62,60,63,40,12,5,54,45,51,11
62,60,63,40,12,45,54,51,11
62,60,40,12,63,5,45,54,51,11,39,6
62,63,60,12,40,5,45,54,11,51
62,60,63,40,12,54,45,51,5
